nquest,comprens,ita,veroaf,veroab,verored,klima,facil,durata
512849,10,10,10,10,10,10,10,43
512858,9,9,9,9,9,9,9,27
512884,8,8,8,8,8,8,8,30
512887,8,8,8,8,8,8,8,26
512892,7,7,7,7,7,7,7,41
512897,8,8,8,8,8,8,8,34
512921,9,9,8,8,8,9,9,42
512941,9,9,9,9,9,9,9,31
512963,8,8,8,7,6,8,8,50
513045,9,9,8,8,8,9,8,87
513064,8,8,8,7,8,8,8,76
513113,10,10,10,10,10,10,10,86
513131,9,10,10,8,10,10,10,40
513140,8,8,8,9,9,9,9,27
513330,10,10,10,10,10,10,10,67
513335,10,9,10,10,10,9,9,67
513369,8,8,8,8,7,8,6,38
513377,8,7,8,8,7,8,8,29
513384,7,7,8,8,8,8,8,38
513386,6,6,6,7,7,8,5,39
513406,10,10,10,10,10,10,10,53
513411,10,10,10,10,10,10,10,30
513427,10,9,9,9,8,9,8,72
513428,10,8,8,10,7,8,8,86
513437,7,7,7,7,7,7,7,101
513449,10,10,9,9,8,9,9,74
610980,9,10,9,10,9,10,9,54
611412,9,9,9,9,9,9,9,64
611441,9,9,9,9,9,9,9,55
611453,8,9,8,9,9,9,9,61
611512,9,9,9,9,10,10,9,52
611614,10,10,10,10,10,10,10,88
611774,9,9,6,8,8,8,8,55
612011,9,10,10,10,10,10,9,98
612269,10,10,10,10,10,10,10,78
612423,10,10,10,10,10,10,10,106
613605,10,10,10,10,10,10,10,45
613825,7,7,7,7,8,9,8,43
614068,9,8,9,10,9,10,9,65
614094,10,10,10,10,10,10,10,55
614660,10,9,8,9,9,8,8,36
614683,10,9,8,9,9,9,9,39
614783,9,9,9,9,9,9,9,33
615399,9,9,9,9,9,9,9,67
615751,6,10,6,10,10,10,5,45
616016,8,7,8,8,8,7,8,41
616078,7,7,7,7,7,7,7,49
616313,8,7,7,8,8,7,6,58
617023,8,8,8,8,8,8,8,82
617231,8,8,8,8,8,8,8,30
617398,10,10,10,10,10,10,10,69
617902,10,10,7,10,8,10,10,70
618755,10,10,10,10,8,10,10,45
619457,10,10,10,10,10,10,10,32
620481,10,10,10,10,10,10,5,125
620503,8,8,8,8,8,8,8,42
620649,9,9,9,9,9,9,9,60
620805,10,10,10,10,10,10,10,70
620829,10,10,10,10,10,10,10,75
620858,10,10,10,10,10,10,10,92
621685,9,9,9,9,9,9,9,63
621762,7,7,7,7,8,9,7,36
621766,10,10,10,10,10,10,10,34
621773,9,9,9,9,9,9,9,42
621999,6,6,6,6,6,6,6,32
622031,6,6,6,6,6,6,6,50
622034,6,6,6,6,6,6,6,44
622063,6,5,6,6,5,5,6,37
622071,6,6,6,6,6,7,6,78
622228,8,8,8,10,9,9,8,100
622306,10,9,8,9,5,10,9,35
622707,9,9,9,9,9,9,9,26
622717,9,9,9,9,9,9,9,20
622915,9,9,9,9,9,9,9,58
623281,10,10,10,10,10,10,10,59
623300,10,10,10,10,10,10,10,57
623305,10,10,10,10,10,10,10,72
623310,10,10,10,10,10,10,10,55
623606,7,8,6,9,7,8,8,48
623614,9,9,9,9,9,9,8,36
623619,9,7,7,7,7,7,7,31
624781,8,7,8,6,8,9,9,46
624804,8,7,9,8,7,8,8,54
625193,9,9,9,9,9,9,9,32
625513,7,8,7,7,6,7,7,62
625536,7,7,7,8,7,6,6,70
625641,10,10,10,10,10,10,10,95
625694,7,8,7,7,8,7,6,54
625983,10,10,10,10,10,10,10,75
626030,8,8,7,9,5,4,6,38
626162,9,9,8,8,8,8,8,74
626189,5,7,7,7,7,8,7,29
626240,9,8,8,8,8,8,8,48
626259,9,8,8,8,8,8,8,67
626310,8,8,8,8,8,8,8,71
626312,6,6,7,8,9,7,6,52
626361,9,9,9,9,9,9,9,46
626641,8,8,9,9,8,10,8,36
626680,9,9,9,9,9,9,9,31
626851,8,8,8,8,8,8,8,69
626868,7,7,7,7,7,8,8,55
626892,6,6,6,6,6,6,6,51
627067,9,9,9,9,9,9,9,28
627314,8,9,8,9,9,9,8,60
627479,6,6,6,6,6,6,6,39
627842,9,9,9,9,9,9,9,32
628193,6,6,6,6,6,5,6,78
628418,7,7,7,7,7,7,7,46
629458,8,8,8,8,8,8,8,30
629478,9,9,9,9,9,9,9,52
629488,9,9,9,9,9,9,9,47
629555,8,9,9,9,9,9,9,63
629828,7,7,8,8,8,8,9,27
629984,6,6,6,7,7,6,6,42
630345,10,10,10,10,10,10,10,57
630650,7,7,6,7,6,8,6,50
630858,10,10,10,10,7,9,8,45
631016,8,8,8,8,8,8,9,55
631237,7,7,7,8,8,8,7,54
631306,7,10,10,10,7,7,5,43
