nquest,anmutuo11,anmutuo12,anmutuo13,debgar11_1,debgar12_1,debgar13_1,debgar11_2,debgar12_2,debgar13_2,debgar11_3,debgar12_3,debgar13_3,debm11,debm12,debm13,debpers11,debpers12,debpers13,debrf11,debrf12,debrf13,ltv11,ltv12,ltv13,mutuodu11,mutuodu12,mutuodu13,mutuoin11,mutuoin12,mutuoin13,ratacon11,ratacon12,ratacon13,rifinanz11,rifinanz12,rifinanz13,rippag11,rippag12,rippag13,sospecome11,sospecome12,sospecome13,sospens11,sospens12,sospens13,stesmut11,stesmut12,stesmut13,taxfis11,taxfis12,taxfis13,taxvar11,taxvar12,taxvar13,tipotax11,tipotax12,tipotax13,tmutuoab11,tmutuoab12,tmutuoab13,whytipo11,whytipo12,whytipo13,tdebita11,tdebita12,tdebita13
685058,2008,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,80000,,,,,,2,,,,,,,,,2,,,,,,3,,,,,,1,,,4320,,,4,,,54180,,
685149,2003,,,1,,,0,,,0,,,1,,,,,,2,,,60,,,15,,,45000,,,,,,2,,,,,,,,,2,,,,,,4.5,,,,,,1,,,6000,,,4,,,26339.860467,,
685528,2013,,,0,,,0,,,1,,,1,,,2,,,2,,,15,,,12,,,13000,,,1,,,2,,,,,,,,,2,,,,,,,,,5,,,2,,,1000,,,4,,,11000,,
686173,2001,,,1,,,0,,,0,,,2,,,,,,2,,,50,,,15,,,77000,,,1,,,2,,,,,,,,,2,,,,,,,,,2.5,,,2,,,6500,,,1,,,15000,,
686423,2004,,,1,,,0,,,0,,,2,,,,,,2,,,100,,,15,,,25000,,,2,,,2,,,,,,,,,2,,,,,,,,,2.8,,,2,,,1500,,,4,,,9000,,
686528,2013,2013,,1,0,,0,0,,0,1,,1,2,,,1,,2,2,,100,6,,25,7,,200000,13000,,,,,2,2,,,,,,,,2,2,,,,,3.4,4.5,,,,,3,1,,13000,2750,,4,4,,190000,10000,
686634,2001,,,1,,,0,,,0,,,1,,,,,,2,,,100,,,20,,,25000,,,,,,2,,,,,,,,,2,,,,,,2.5,,,,,,1,,,3600,,,4,,,20000,,
687112,2007,,,0,,,0,,,1,,,1,,,1,,,2,,,80,,,25,,,120000,,,,,,2,,,,,,,,,2,,,,,,5,,,,,,1,,,11760,,,1,,,100000,,
687321,2003,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,15,,,50000,,,,,,2,,,,,,,,,2,,,,,,3,,,,,,1,,,5000,,,1,,,18000,,
687699,2000,,,1,,,0,,,0,,,1,,,,,,2,,,90,,,28,,,150000,,,1,,,1,,,,,,,,,2,,,1,,,,,,5.7,,,2,,,7200,,,1,,,70000,,
