nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,etalav2,etapen,coppu,prevcom,coppip,mcontrib,anprevcom,mprevcom1
35322,1,10,2,,1,15,1,30,,,,,,,,
35322,2,0,,,,,,,,,,,,,,
35323,1,2,1,3,3,15,1,34,,,,,,,,
35323,2,0,,,,,,,,,,,,,,
35326,1,1,2,,,23,1,42,,,,,,,,
35326,2,1,2,,,22,1,38,,,,,,,,
35340,1,0,,,,,,,,,,,,,,
35349,1,1,2,,,18,1,40,,,,,,,,
35349,2,0,,,,,,,,,,,,,,
35355,1,0,,,,,,,,,,,,,,
35370,1,1,2,,,30,1,20,,,,,,,,
35372,1,1,1,4,,25,1,35,,65,70,1,75,,,
35372,2,1,2,,,20,1,36,,,,,,,,
35372,3,0,,,,,,,,,,,,,,
35374,1,2,2,,2,23,1,35,,,,,,,,
35374,2,1,2,,,20,1,38,,,,,,,,
35374,3,0,,,,,,,,,,,,,,
35374,4,0,,,,,,,,,,,,,,
35374,5,0,,,,,,,,,,,,,,
35379,1,1,2,,,18,1,37,,,,,,,,
35379,2,0,,,,,,,,,,,,,,
35502,1,0,,,,,,,,,,,,,,
35502,2,5,1,1,1,15,1,25,60,,,2,,,,
35507,1,1,2,,,34,1,17,,66,70,2,,,,
35507,2,1,2,,,20,1,35,,,,,,,,
35507,3,0,,,,,,,,,,,,,,
35508,1,0,,,,,,,,,,,,,,
35508,2,0,,,,,,,,,,,,,,
35508,3,0,,,,,,,,,,,,,,
35508,4,0,,,,,,,,,,,,,,
35508,5,,,,,,,,,,,,,,,
35508,6,,,,,,,,,,,,,,,
35518,1,2,2,,1,20,1,15,,,,,,,,
35600,1,1,2,,,15,1,35,,,,,,,,
35600,2,0,,,,,,,,,,,,,,
35640,1,1,2,,,18,1,40,,,,,,,,
35640,2,2,2,,1,14,1,31,,,,,,,,
35682,1,3,2,,1,16,1,40,,,,,,,,
35682,2,1,2,,,19,1,33,,,,,,,,
35788,1,1,2,,,21,1,38,,,,,,,,
35788,2,1,2,,,14,1,17,,,,,,,,
35788,3,3,2,,1,23,1,4,25,,,2,,,,
35968,1,1,2,,,40,1,23,,,,,,,,
36067,1,0,,,,,,,,,,,,,,
36067,2,0,,,,,,,,,,,,,,
36067,3,1,2,,,21,2,,,,,2,,,,
36130,1,1,2,,,14,1,37,,58,80,2,,,,
36130,2,5,1,4,1,15,1,25,46,67,50,2,,,,
36130,3,0,,,,,,,,,,,,,,
36148,1,0,,,,,,,,,,,,,,
36164,1,2,2,,1,17,1,38,33,70,60,2,,,,
36164,2,3,2,,1,20,1,23,48,,,2,,,,
36186,1,4,1,2,3,20,1,21,41,60,90,2,,,,
36186,2,3,1,8,1,20,1,3,28,,,2,,,,
36186,3,,,,,,,,,,,,,,,
36250,1,1,2,,,23,1,28,,65,90,2,,,,
36250,2,2,1,2,3,21,1,2,28,,,,,,,
36250,3,0,,,,,,,,,,,,,,
36311,1,1,2,,,22,1,28,,66,80,,,,,
36311,2,0,,,,,,,,,,,,,,
36311,3,0,,,,,,,,,,,,,,
