nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,debgar31_4,debgar32_4,debgar33_4,debgar34_4,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34,debgar31_5,debgar32_5,debgar33_5,debgar34_5
908797,2010,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,5,,,,12000,,,,,,,,1200,,,,3,,,,3600,,,,0,,,
908799,2014,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,1,,,,1000,,,,,,,,175,,,,3,,,,960,,,,0,,,
908817,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,3,,,,3000,,,,6,,,,2400,,,,1,,,,1200,,,,0,,,
908835,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,18000,,,,,,,,15000,,,,3,,,,3600,,,,0,,,
908840,2013,,,,0,,,,0,,,,0,,,,2,,,,1,,,,2,,,,1,,,,4,,,,2500,,,,7,,,,1500,,,,1,,,,700,,,,0,,,
909208,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,3,,,,5000,,,,6.3,,,,3500,,,,1,,,,800,,,,0,,,
909475,2013,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,11000,,,,,,,,6900,,,,3,,,,3600,,,,0,,,
909513,2007,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,8,,,,18000,,,,,,,,2000,,,,3,,,,600,,,,0,,,
909544,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,4,,,,17000,,,,,,,,6000,,,,3,,,,4300,,,,0,,,
909549,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,7,,,,10000,,,,2,,,,5000,,,,1,,,,1700,,,,0,,,
909570,2012,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,10000,,,,,,,,6000,,,,3,,,,4200,,,,0,,,
909606,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,1,,,,5,,,,8500,,,,3,,,,7000,,,,1,,,,2000,,,,0,,,
909610,2013,,,,1,,,,0,,,,0,,,,1,,,,,,,,2,,,,0,,,,5,,,,10000,,,,3.5,,,,4600,,,,1,,,,2700,,,,0,,,
909623,2013,,,,1,,,,0,,,,0,,,,1,,,,,,,,1,,,,0,,,,5,,,,10000,,,,3.5,,,,4600,,,,1,,,,2700,,,,0,,,
909631,2014,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,1,,,,3,,,,13000,,,,3.25,,,,11000,,,,1,,,,2100,,,,0,,,
