nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,carta,carte,usocart,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,cartdeb,cartdeb1,fscoper1,DEPOSIT,NDEPOSIT
861345,2,,,2,2,1,2,,,,2,,,1,2,2,,500,2,,,,1,2
861452,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
861471,2,,,2,2,1,2,,,,1,1,2,1,2,2,,300,1,,,,1,2
861476,2,,,2,2,1,2,,,,2,,,1,2,2,,900,1,,,,1,2
861499,,,,1,1,,,,,,2,,,2,,2,,600,2,,,,1,1
861502,2,,,1,1,2,,,,,1,1,2,2,,2,,700,2,,,,1,1
861508,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,1
861525,2,,,1,1,2,,,,,1,1,2,1,1,2,,1000,1,,,,1,1
861526,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
861578,2,,,1,1,3,,,,,2,,,1,1,2,,1300,2,,,,1,1
861581,2,,,1,1,2,,,,,2,,,1,1,1,1,1000,2,,,,1,2
861584,2,,,1,1,2,,,,,2,,,1,1,1,3,1000,2,,,,1,2
861731,2,,,1,1,2,,,,,1,1,1,1,1,2,,800,2,,,,1,1
861752,,,,,,,,,,,2,,,2,,2,,500,2,,,,2,0
861850,2,,,1,1,2,,,,,1,1,1,1,1,2,,600,2,,,,1,1
861949,2,,,1,1,1,1,9,2000,1700,1,1,2,1,1,1,3,600,1,,,,1,2
861954,2,,,1,1,2,,,,,2,,,1,2,2,,1200,2,,,,1,5
861992,2,,,1,1,1,2,,,,2,,,1,1,2,,400,2,,,,1,1
862003,2,,,1,1,1,2,,,,2,,,1,2,2,,1000,2,,,,1,1
862007,,,,,,,,,,,2,,,2,,2,,327,2,,,,2,0
862012,2,,,2,3,1,2,,,,2,,,1,2,2,,1500,2,,,,1,3
862062,2,,,1,1,3,,,,,2,,,1,2,2,,500,1,,,,1,2
862075,2,,,1,1,3,,,,,2,,,2,,2,,700,2,,,,1,1
862080,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,2
862146,2,,,1,1,2,,,,,2,,,1,1,2,,1500,2,,,,1,1
862150,2,,,1,1,2,,,,,2,,,1,2,2,,1000,2,,,,1,1
862168,2,,,1,1,2,,,,,2,,,1,1,2,,1500,2,,,,1,2
862264,,,,,,,,,,,2,,,2,,2,,1000,2,,,,2,0
862279,2,,,1,1,3,,,,,1,1,1,1,2,2,,1000,1,,,,1,1
862280,2,,,1,1,3,,,,,1,1,1,2,,2,,1200,1,,,,1,1
862295,,,,,,,,,,,2,,,2,,2,,800,2,,,,2,0
862302,2,,,1,1,1,2,,,,2,,,1,1,1,1,800,1,,,,1,1
862303,2,,,1,1,3,,,,,2,,,1,1,2,,400,2,,,,1,1
862314,2,,,1,1,3,,,,,1,1,2,1,2,2,,900,2,,,,1,1
862358,,,,,,,,,,,2,,,2,,2,,700,2,,,,2,0
862416,,,,,,,,,,,2,,,2,,2,,400,2,,,,2,0
862424,2,,,1,1,1,2,,,,1,1,2,1,2,2,,1700,1,,,,1,1
862455,2,,,1,1,1,2,,,,1,2,2,1,2,2,,1600,1,,,,1,1
862462,2,,,1,1,3,,,,,2,,,1,2,1,2,800,1,,,,1,1
862466,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
862503,1,2,2,2,2,1,2,,,,1,3,2,1,3,1,1,2500,1,,,,1,3
862583,2,,,1,1,1,2,,,,1,1,2,1,2,1,1,1000,1,,,,1,1
862590,2,,,1,1,2,,,,,2,,,1,2,2,,500,2,,,,1,1
862604,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,2
862739,2,,,1,1,3,,,,,2,,,1,1,2,,500,2,,,,1,1
862752,2,,,2,2,1,1,5,750,0,1,1,3,1,1,1,1,400,1,1300,,,1,2
862789,2,,,1,1,2,,,,,2,,,2,,2,,700,2,,,,1,1
862824,,,,,,,,,,,2,,,2,,2,,200,2,,,,2,0
862826,,,,,,,,,,,2,,,2,,2,,400,2,,,,2,0
862853,2,,,1,1,2,,,,,2,,,1,1,2,,900,2,,,,1,1
862874,1,1,1,2,2,2,,,,,1,1,2,1,2,1,1,2000,2,,,,1,3
862877,,,,1,1,,,,,,2,,,2,,2,,690,2,,,,1,1
862904,,,,,,,,,,,2,,,2,,2,,500,2,,,,2,0
862939,2,,,2,3,1,2,,,,2,,,1,3,2,,1200,2,,,,1,3
862976,2,,,2,2,1,2,,,,1,2,2,1,2,2,,2000,1,,,,1,3
