nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
877868,28753.487119,28000,28000,0,750,0,0,0,750,0,0,750,750,0,0,0,0,3.487118629,0,0,0,3.487118629,3.487118629,0,0,0
877902,94400.061234,26000,26000,0,47600,41600,41600,0,6000,6000,0,0,0,0,0,0,0,20800.061234,17552.242407,5202.2424074,12350,3247.8188269,1092.5410113,1521.981513,633.29630259,0
877908,18765.808055,0,0,0,7540,7540,7540,0,0,0,0,0,0,0,0,0,0,11225.808055,11200,1600,9600,25.808055386,25.808055386,0,0,0
877948,27352.492167,21328,21328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6024.4921673,14400,0,14400,-8375.507833,25.808055386,0,0,8401.315888
877955,18060.218796,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,2460.2187959,2400,0,2400,60.218795901,60.218795901,0,0,0
877988,17423.122824,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,1173.1228236,1100,0,1100,73.122823594,73.122823594,0,0,0
878002,21267.20537,0,0,0,18850,18850,18850,0,0,0,0,0,0,0,0,0,0,2417.2053703,2400,0,2400,17.205370257,17.205370257,0,0,0
878007,56904.389626,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,39000,0,39000,6204.3896263,6000,0,6000,204.38962625,204.38962625,0,0,0
878011,19260.572753,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,9260.5727526,9200,0,9200,60.572752585,60.572752585,0,0,0
878019,21025.508076,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.508076316,0,0,0,25.508076316,25.508076316,0,0,0
878021,9400,0,0,0,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,2400,2400,0,2400,0,0,0,0,0
878022,20499.536694,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,0,2499.5366938,2400,0,2400,99.536693815,99.536693815,0,0,0
878032,22858.379557,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4858.3795572,4800,0,4800,58.3795572,58.3795572,0,0,0
878039,29000,23000,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
878049,19561.939333,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,61.939332927,0,0,0,61.939332927,61.939332927,0,0,0
878065,24060.218796,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,8460.2187959,8400,0,8400,60.218795901,60.218795901,0,0,0
