nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
29140,1,0,0,15210,0,0,0,0,0,0,15210,0,0,15210,0,0,12000,12000,8.6026851287,0,0,0,8.6026851287,12008.602685,27218.602685,0,0
29140,2,0,0,14014,0,0,0,0,0,0,14014,0,0,14014,0,0,0,0,0,0,0,0,0,0,14014,0,0
29678,1,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,6000,6000,47.314768208,0,0,0,47.314768208,6047.3147682,20347.314768,0,0
29680,1,16000,0,0,0,0,0,0,1500,16000,0,-1500,-1500,-1500,0,0,4200,4200,24.493504561,0,0,0,24.493504561,4224.4935046,18724.493505,0,0
29680,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,6000,6000,0
29680,4,8000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0
29737,1,40000,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,7200,7200,328.74300951,0,2631.2,0,2959.9430095,10159.94301,50159.94301,0,0
29737,2,22000,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0
29742,1,20000,0,0,0,0,0,0,1500,20000,0,-1500,-1500,-1500,0,0,12000,12000,0,0,0,0,0,12000,30500,0,0
29742,2,22000,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0
29742,3,0,0,10270,0,0,0,0,0,0,10270,0,0,10270,0,0,0,0,0,0,0,0,0,0,10270,0,0
29742,4,9600,0,0,0,0,0,0,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,0
29798,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,6000,6000,516.16110772,0,0,0,516.16110772,6516.1611077,27316.161108,0,0
29798,2,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,0,0,0,0,0,0,0,0,7800,0,0
