nquest,Y,CN,CD1,CD2,CD,C,S
58366,34612.827786,25200,0,0,0,25200,9412.827786
60078,14940,16800,-6000,0,-6000,10800,4140
91067,24389.118796,20400,0,0,0,20400,3989.1187959
91071,50870.674514,41040,0,1000,1000,42040,8830.6745145
91074,22723.274703,19200,0,600,600,19800,2923.2747033
91079,32683.17043,14400,0,0,0,14400,18283.17043
91081,27139.073041,24000,0,0,0,24000,3139.0730414
91095,39167.374635,30400,0,0,0,30400,8767.3746353
104002,27286.026851,25500,0,0,0,25500,1786.0268513
111052,45207.689644,29900,0,850,850,30750,14457.689644
138399,39209.0427,18600,0,0,0,18600,20609.0427
145007,71072.053703,38100,8000,0,8000,46100,24972.053703
176061,16630.109398,10800,0,0,0,10800,5830.109398
178001,16301.616111,21120,0,0,0,21120,-4818.383889
193016,12985.887488,7200,0,0,0,7200,5785.8874878
213440,20800.860269,19200,0,0,0,19200,1600.8602685
224048,7150,15960,0,0,0,15960,-8810
230029,29580.47586,23800,0,0,0,23800,5780.4758596
230037,46657.055642,39800,0,0,0,39800,6857.0556418
230039,21155.169091,28800,1000,900,1900,30700,-9544.830909
230048,16710.919559,11800,0,0,0,11800,4910.9195588
237003,55915.362023,22400,0,0,0,22400,33515.362023
238055,30223.425546,23400,0,0,0,23400,6823.4255461
243067,51190.423154,36000,10900,0,10900,46900,4290.4231539
244013,27062.171508,25200,0,0,0,25200,1862.1715077
244058,16425.976692,14400,0,0,0,14400,2025.9766921
250005,14300,13200,0,0,0,13200,1100
250010,7800,9600,0,0,0,9600,-1800
250039,12768.821481,12000,0,0,0,12000,768.82148103
250056,16689.629536,15600,0,0,0,15600,1089.6295364
256015,20908.907623,16800,0,400,400,17200,3708.9076231
279054,15618.065639,18000,0,0,0,18000,-2381.934361
282083,9035,12000,0,0,0,12000,-2965
282089,24467,23708,0,500,500,24208,259
284086,25200,15000,0,0,0,15000,10200
294039,35441.506713,31200,0,0,0,31200,4241.5067128
310002,17797.72153,14400,0,300,300,14700,3097.7215298
310005,30397.882047,20400,0,1000,1000,21400,8997.882047
321009,27367.20537,21600,0,0,0,21600,5767.2053703
330057,15108.357691,9600,0,0,0,9600,5508.3576913
332080,31956.026851,18000,0,0,0,18000,13956.026851
333081,50948.272498,38400,0,0,0,38400,12548.272498
350068,18501.720537,12000,0,0,0,12000,6501.720537
355063,8639.2540277,8952,0,1000,1000,9952,-1312.745972
365034,17642.672401,10800,0,0,0,10800,6842.6724009
387029,40271.65,26400,0,0,0,26400,13871.65
389045,15000,14076,0,0,0,14076,924
389084,19000,14292,0,0,0,14292,4708
500001,17441.0265,16200,0,250,250,16450,991.02650012
500004,16320,19200,0,0,0,19200,-2880
500026,30168.423442,27000,0,470,470,27470,2698.4234416
500090,21733.400999,15600,0,120,120,15720,6013.4009991
500176,13021.542416,15600,0,0,0,15600,-2578.457584
500388,10000.907864,9240,0,0,0,9240,760.90786425
500573,37818.581837,28560,0,1480,1480,30040,7778.5818369
500575,23725.907084,19596,0,0,0,19596,4129.907084
500586,50561.349924,30000,0,0,0,30000,20561.349924
500620,24009.901029,16800,0,0,0,16800,7209.901029
500669,81668.562726,24600,0,0,0,24600,57068.562726
500674,38128.356151,24000,0,0,0,24000,14128.356151
500726,55651.917146,33600,0,0,0,33600,22051.917146
501068,17462.266329,13800,0,0,0,13800,3662.2663289
501082,33745.794836,30700,0,0,0,30700,3045.7948357
