nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
892935,2,,1,2,,1,2,,,2,1,2,1,,,,,1,1
892939,2,,1,2,,2,,2,,2,1,2,1,,,,,1,1
892941,2,,1,2,,2,,2,,2,1,2,1,,,,,1,1
892946,2,,3,2,,2,,,1992,1,1,1,1,2,1,1,1,1,1
892948,2,,2,2,,1,1,,1961,2,1,2,1,2,1,2,1,1,1
892952,2,,6,2,,2,,,1992,7,2,7,2,7,2,7,2,1,1
892971,1,,2,2,,1,1,,1974,2,1,2,1,2,1,2,1,2,1
892972,1,,2,2,,2,,2,,3,1,1,,,,,,2,1
892976,1,,2,2,,1,3,,1955,7,1,2,1,2,1,2,1,1,1
892979,1,,2,2,,1,1,,1960,2,1,2,1,2,1,2,1,3,1
892980,1,,1,2,,1,2,,,2,1,2,1,,,,,2,1
892983,1,,1,2,,1,2,,,2,1,2,1,,,,,6,1
892985,2,,3,2,,1,1,,1964,2,1,2,1,2,1,2,1,2,1
892991,2,,2,2,,1,1,2,,2,1,2,1,,,,,1,1
892992,2,,2,2,,1,2,,1979,1,1,1,1,2,1,1,1,2,1
892995,2,,2,1,2,2,,,1981,2,1,2,1,1,1,1,1,1,1
892999,2,,3,1,2,1,2,,1984,1,1,1,1,1,1,1,1,1,1
893003,2,,4,1,4,2,,,2000,5,1,3,1,2,1,4,1,6,1
893007,2,,3,1,2,1,1,,1984,2,1,2,1,1,1,1,1,4,1
893013,2,,3,1,4,2,,,2009,2,1,2,1,2,1,3,1,3,1
893016,2,,2,2,,1,2,1,,4,1,3,1,,,,,2,0
893022,1,,3,2,,1,1,,1983,5,1,4,1,4,1,3,1,3,1
893023,1,,1,2,,2,,2,,2,1,2,1,,,,,3,1
893033,2,,1,2,,1,2,,,2,1,2,1,,,,,3,1
893036,2,,2,2,,1,2,,1972,1,1,1,1,2,1,1,1,3,1
893044,2,,3,1,1,1,1,,1984,2,1,2,1,2,1,7,1,2,1
893052,2,,3,1,1,2,,,1994,3,1,1,1,1,1,3,1,1,1
