nquest,nord,anmutuo41i,anmutuo42i,anmutuo43i,anmutuo44i,anmutuo45i,debgar41i_1,debgar42i_1,debgar43i_1,debgar44i_1,debgar45i_1,debgar41i_2,debgar42i_2,debgar43i_2,debgar44i_2,debgar45i_2,debgar41i_3,debgar42i_3,debgar43i_3,debgar44i_3,debgar45i_3,debgar41i_4,debgar42i_4,debgar43i_4,debgar44i_4,debgar45i_4,debm41i,debm42i,debm43i,debm44i,debm45i,debrf41i,debrf42i,debrf43i,debrf44i,debrf45i,mutuodu41i,mutuodu42i,mutuodu43i,mutuodu44i,mutuodu45i,mutuoin41i,mutuoin42i,mutuoin43i,mutuoin44i,mutuoin45i,nattivita_all_b21,nattivita_all_b22,nattivita_all_b23,nattivita_all_b24,nattivita_all_b25,taxdeb41i,taxdeb42i,taxdeb43i,taxdeb44i,taxdeb45i,tdebita41i,tdebita42i,tdebita43i,tdebita44i,tdebita45i,tmutuoab41i,tmutuoab42i,tmutuoab43i,tmutuoab44i,tmutuoab45i
809254,2,2014,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,,,,,4,,,,,16000,,,,,1,,,,,4,,,,,12000,,,,,4000,,,,
819125,1,2010,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,5,,,,,24000,,,,,1,,,,,7,,,,,7000,,,,,6000,,,,
823767,1,2014,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,,,,,,,,,,13000,,,,,1,,,,,11.3,,,,,6500,,,,,260,,,,
824761,2,2014,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,,,,,,,,,,4000,,,,,1,,,,,9,,,,,1000,,,,,3500,,,,
858787,1,2010,2010,2012,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,,,1,1,2,,,5,5,5,,,100000,60000,40000,,,1,1,1,,,5.5,6,8,,,15000,10000,10000,,,19000,12000,20000,,
861471,1,2013,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,6,,,,,12000,,,,,1,,,,,11.9,,,,,10000,,,,,2988,,,,
864456,1,2009,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,15,,,,,300000,,,,,1,,,,,5,,,,,160000,,,,,15000,,,,
865571,1,2013,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,,,,,,,,,,25000,,,,,1,,,,,0.3,,,,,8000,,,,,9000,,,,
871427,1,2013,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,2,,,,,,,,,,5000,,,,,1,,,,,4.8,,,,,3000,,,,,1200,,,,
872924,1,2011,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,,,,,4,,,,,23000,,,,,1,,,,,5,,,,,13000,,,,,5000,,,,
