nquest,nord,INTPER,attivp,partime,contratt,tuttanno,mesilav,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
510239,1,1,1,1,1,1,12,4,40,2,,21600,2,0
510239,2,2,1,2,1,1,12,4,25,2,,10000,2,0
510329,1,1,1,2,3,1,12,1,30,2,,10000,2,0
510374,2,1,1,1,1,1,12,2,40,2,,16000,2,0
510432,1,1,1,2,2,2,8,8,18,2,,3200,2,0
510433,3,1,1,1,1,1,12,7,40,1,2,15000,2,0
510433,4,1,1,1,1,2,6,4,36,1,1,7000,2,0
510984,1,1,1,1,1,1,12,8,30,2,,19200,2,0
511116,1,1,1,1,2,2,5,2,40,2,,6000,2,0
511116,3,3,1,1,2,1,12,1,40,2,,10000,2,0
511136,1,1,1,1,2,2,6,8,30,2,,6000,2,0
511147,1,1,1,1,1,1,12,8,36,1,1,19000,2,0
511315,1,1,1,1,1,1,12,8,36,2,,19000,2,0
511342,1,1,1,1,1,1,12,8,36,2,,13000,2,0
511352,1,1,1,1,1,1,12,8,36,2,,18000,2,0
511352,2,1,1,1,1,1,12,3,40,2,,12000,2,0
511365,1,1,1,1,1,1,12,6,40,2,,16000,2,0
511474,1,1,1,1,1,1,12,8,24,2,,24000,2,0
511489,2,1,1,1,1,1,12,1,45,2,,13000,2,0
511489,3,1,1,1,1,1,12,1,48,2,,9750,2,0
511489,4,1,1,1,1,1,12,2,48,2,,13000,2,0
511757,1,1,1,1,1,1,12,8,40,2,,15600,2,0
512406,1,1,1,1,1,1,12,8,36,2,,17500,2,0
512406,2,1,1,1,1,1,12,8,36,2,,14000,2,0
512517,1,1,1,1,1,2,7,6,42,1,2,10000,1,700
512517,2,2,1,1,1,1,12,8,36,1,4,17000,2,0
512784,1,1,1,1,1,1,12,1,36,2,,22000,2,0
512843,2,1,1,1,1,1,12,4,40,2,,22000,2,0
512884,2,1,1,2,2,1,12,1,40,2,,10000,2,0
512887,1,1,1,1,1,1,12,4,36,2,,17000,2,0
512921,1,1,1,1,1,1,12,8,20,1,1,33878,2,0
512941,1,1,1,1,1,1,12,1,36,2,,17000,2,0
512941,2,1,1,2,1,1,12,1,15,2,,7000,2,0
513045,3,1,1,1,1,1,12,5,36,2,,16950,2,0
513064,1,1,1,1,1,1,12,6,40,2,,20900,2,0
513064,2,2,1,1,1,1,12,6,40,2,,16150,2,0
513113,1,1,1,2,1,1,12,7,19,2,,13000,2,0
513113,2,2,1,1,1,1,12,1,45,1,8,26000,2,0
513113,4,1,1,1,2,1,12,2,40,1,4,12000,2,0
