nquest,pubblico,conspub,mesiconspub,conspcome,vuoimpre,NOIMPRE1,NOIMPRE2,NOIMPRE3,NOIMPRE4,NOIMPRE5,NOIMPRE6,NOIMPRE7,NOIMPRE8,SIMPRE1,SIMPRE2,SIMPRE3,SIMPRE4,SIMPRE5,pubpriv,scelpub,motpa1,motpa2,motpa3,motpa4,motpa5,motpa6,motpa7,motpa8,lavpa,scelpriv,motpriv1,motpriv2,motpriv3,motpriv4,motpriv5,motpriv6,motpriv7,motpriv8,varred,varredb,motdim,varredf,varredfb,aspred,varreda,motaum,varredfa
36164,2,2,,,2,5,5,5,5,5,5,3,2,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
36186,2,2,,,2,2,3,4,4,3,4,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,3,10,1,,,
36250,1,1,5,3,2,4,5,4,4,4,4,2,3,,,,,,2,2,4,4,3,3,3,5,4,3,,,,,,,,,,,2,,,2,,2,,,
36311,1,1,2,2,2,4,5,4,4,4,4,4,3,,,,,,2,2,5,4,5,4,4,4,4,4,,,,,,,,,,,2,,,2,,2,,,
36321,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,2,,,2,,2,,,
36333,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5000,1,3,20,1,,,
36378,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
36403,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
36409,1,2,,,2,4,4,2,4,3,3,3,3,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
36443,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,3,4,4,3,3,2,,,2,,1,,,
36450,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,3,4,3,3,2,3,2,,,2,,2,,,
36522,1,1,4,2,2,4,4,1,1,3,1,3,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
36524,2,2,,,1,,,,,,,,,1,5,2,3,5,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
36697,2,1,3,1,2,2,5,2,3,3,4,3,3,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,2,,1,,,
36774,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,3,3,3,3,3,2,,,2,,1,,,
36893,1,1,2,1,,,,,,,,,,,,,,,1,2,4,4,4,4,5,4,4,4,,,,,,,,,,,2,,,2,,1,,,
37001,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,
37011,1,1,6,1,,,,,,,,,,,,,,,2,2,5,4,4,5,4,5,5,4,,,,,,,,,,,2,,,2,,2,,,
37042,2,2,,,2,4,5,4,4,3,4,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,1,,,
37299,2,2,,,2,2,3,4,3,3,2,3,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
37459,1,2,,,2,1,5,4,4,5,4,3,4,,,,,,2,2,4,4,3,3,3,3,4,4,,,,,,,,,,,3,3000,1,3,40,1,,,
37521,1,1,12,2,,,,,,,,,,,,,,,2,2,5,4,1,5,1,3,5,5,,,,,,,,,,,2,,,2,,1,,,
37665,1,1,0,2,2,4,4,2,2,4,4,1,1,,,,,,1,2,4,3,1,2,2,5,1,4,,,,,,,,,,,2,,,2,,1,,,
37677,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,2,,2,,,
37721,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,1,,,
