nquest,anabit,godabit,unipro,anposs,poss,impacq,tfitto,tipoaff,dfittom,propriet,tfitimp,ritaff,supab,ancostr,bagni,valabit,antic,anticipi,fittonop,tfittonop,tfittom,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,manstra,tmanstra,manstr2,tmanstr2,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,chifinmut,chifincons,ritardo,mutuor,fmutrif,mutuoe,mutuor3,mutuoric,mutuoric3,varric,varricb,motvarricb,varricf,varricfb,eredona,erequant,eredonc,intpersezd,docsezd,mutuorif,reapmut,varrica,motvarrica,varricfa,ndebitf,debitg,ndebitg,credit,tcredit,debit,tdebit,mutuoe3,tipota1,tipota2,tipota3,tipota4,tipota5,tipota6,tipota7,tipota8,era1,era2,era3,era4,era5,era6,era7,era8,dagena1,dagena2,dagena3,dagena4,dagena5,dagena6,dagena7,dagena8,annota1,annota2,annota3,annota4,annota5,annota6,annota7,annota8,valta1,valta2,valta3,valta4,valta5,valta6,valta7,valta8,VARVALABIT,QUOPRO
26349,1985,1,1,1985,1,30000,,,,,600,,80,1980,2,170000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
27109,1965,1,1,1965,1,2500,,,,,150,,70,1950,1,65000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
27114,1968,1,1,1968,1,1000,,,,,180,,90,1960,1,80000,2,,,,,1,,,,,,,,,2,,1,1,2,,2,,1,1000,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
27116,1964,1,1,1964,1,2500,,,,,250,,100,1900,2,80000,2,,,,,1,1,,,,,,,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
27123,1985,1,1,1992,1,10000,,,,,350,,90,1972,1,150000,2,,,,,1,1,,,,,,,,1,1,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,1,1,2,,,,,,,2,,1,1000,2,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,2011,,,,,,,,100000,,,,,,,,2,100
27157,1988,1,1,1988,4,,,,,,400,,140,1980,2,180000,2,,,,,1,0,0,0,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,3,10,6,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100
27238,2010,1,1,2010,7,20000,,,,,400,,65,2010,1,100000,2,,,,,1,1,,,,,,,,1,1,1,1,1,1,2,,1,4000,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,2,2,1,2,,,,,,,2,,2,,2,,,4,2,,,,,,,2,2,,,,,,,1,1,,,,,,,1980,1980,,,,,,,10000,70000,,,,,,,2,100
27509,1998,1,1,1996,1,115000,,,,,500,,85,1930,2,180000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
27730,1970,1,1,1969,2,10000,,,,,400,,82,1968,2,120000,2,,,,,1,1,0,0,,,,,,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,1,2,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
27734,1981,1,1,1979,2,35000,,,,,250,,54,1979,1,80000,2,,,,,1,1,0,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
27739,1961,1,1,1990,7,4000,,,,,400,,115,1959,2,130000,2,,,,,1,,,,,,,,,1,2,1,1,2,,2,,2,,1,6500,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1995,,,,,,,,5000,,,,,,,,3,100
27742,1957,1,1,1957,7,17000,,,,,300,,80,1950,1,120000,2,,,,,1,0,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,1,2,2,,,2,2,2,2,,,2,,1,1,2,2,2,,,,,,,2,,2,,2,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,2005,,,,,,,,80000,,,,,,,,2,100
27912,1979,1,1,1980,4,,,,,,400,,80,1940,1,200000,2,,,,,1,1,0,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,1,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1980,,,,,,,,150000,,,,,,,,2,100
27923,1978,1,1,1990,4,,,,,,500,,110,1962,2,300000,2,,,,,1,0,0,0,,,,,,1,1,2,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,2,1,1,2,,,,,,,2,,2,,2,,,2,2,,,,,,,1,1,,,,,,,1,1,,,,,,,1990,2000,,,,,,,250000,70000,,,,,,,2,100
27947,1980,1,1,1980,7,20000,,,,,350,,120,1980,2,220000,2,,,,,1,1,,,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,1,1,2,2,2,,,,,,,2,,2,,2,,,2,,,,,,,,1,,,,,,,,2,,,,,,,,2012,,,,,,,,140000,,,,,,,,2,100
28100,2000,1,1,2000,7,90000,,,,,300,,120,1989,2,140000,2,,,,,1,0,0,0,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100
28362,1966,1,1,1966,6,,,,,,600,,115,1920,1,180000,2,,,,,1,,,,,,,,,2,,2,,2,,2,,2,,,,2,,,,2,,2,,2,,2,,,,2,,,2,2,2,2,,,2,,2,,2,1,2,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100
