nquest,nord,INTPER,entepen,tipopen,decor,tpens,mesipen,arret,quotape,tarret
178001,1,1,1,1,2007,1250,13,2,70,0
193016,1,1,1,1,1997,620,13,2,40,0
224048,1,1,1,5,2014,550,13,2,,0
230029,1,1,1,1,1995,1200,13,2,80,0
230029,2,2,1,1,2007,501,13,2,50,0
230037,1,1,2,1,2005,1610,13,2,90,0
230037,2,2,2,1,2000,1225,13,2,70,0
230039,2,1,1,3,2012,280,13,2,,0
230048,1,1,1,1,1990,420,13,2,80,0
230048,1,1,1,5,2002,500,13,2,,0
237003,1,1,2,1,2010,1900,13,2,70,0
237003,2,1,2,1,2005,1300,13,2,80,0
238055,1,1,1,1,2002,1200,13,2,85,0
238055,2,2,1,1,2006,518,13,2,65,0
244013,1,1,1,1,2004,900,13,2,80,0
244013,2,1,1,1,2010,900,13,2,80,0
250005,2,1,1,1,2009,1100,13,2,60,0
250010,1,1,1,5,2009,600,13,2,,0
250039,1,1,1,5,1983,700,13,2,,0
250056,1,1,1,1,2005,815,13,2,60,0
279054,1,1,1,1,1999,800,12,2,70,0
282083,1,1,1,1,2011,695,13,2,30,0
282089,2,1,1,1,2007,759,13,2,60,0
284086,1,1,1,1,2001,1100,13,2,80,0
284086,2,1,1,4,1992,700,13,2,,0
294039,1,1,1,1,2011,440,13,2,50,0
294039,2,1,1,1,2005,900,13,2,50,0
310002,2,2,1,1,2001,985,13,2,80,0
310005,1,1,1,1,1998,1370,13,2,70,0
310005,1,1,4,3,1977,520,12,2,,0
321009,1,1,1,1,1996,1100,13,2,60,0
321009,2,1,1,2,1990,450,13,2,,0
330057,1,1,1,1,1986,880,13,2,80,0
332080,1,1,1,1,2003,1000,13,2,70,0
332080,3,3,1,2,1980,490,13,2,,0
332080,3,3,1,4,2000,500,13,2,,0
333081,1,1,5,1,1994,3000,13,2,65,0
333081,1,1,5,7,2009,160,13,2,,0
355063,1,1,1,5,1984,660,13,2,,0
365034,1,1,1,1,2007,1200,13,2,80,0
387029,1,1,1,1,2003,2500,13,2,80,0
500001,1,1,1,1,2002,1100,12,2,75,0
500004,1,1,1,1,2007,440,12,2,50,0
500004,2,1,1,3,2000,290,12,2,,0
500004,3,1,1,3,2002,290,12,2,,0
500004,4,1,1,3,2002,290,12,2,,0
500090,1,1,1,1,1995,1200,13,2,65,0
500176,2,1,1,1,2008,1000,13,2,70,0
500573,1,1,1,1,2013,1300,13,2,75,0
500573,2,1,1,1,2011,1230,13,2,75,0
500575,1,1,1,1,2004,920,13,2,70,0
500575,2,1,1,1,2003,870,13,2,60,0
500586,1,1,1,1,1994,1808,13,2,98,0
500586,2,1,1,2,2003,152,13,2,,0
500620,1,1,1,1,2001,1190,13,2,95,0
500674,1,1,1,1,1999,1100,13,2,70,0
500674,2,2,1,1,1991,1300,13,2,70,0
