nquest,nord,sex,parent,anasc,cit,aningr,staciv,studio,tipolau,VOTOEDU,SUEDU,annoedu,tipodip,univer,selode,motiv,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,SETT,PERC,NPERC,CFRED,AREA3,AREA5,ACOM4C,PESOFIT,ISCO
893478,1,2,1,1935,1,,2,2,,,,,,,,,16,,,,,,15,3,15,1,79,5,6,3,5,1,1,1,3,4,2,0.2509015571,
893480,1,2,1,1951,1,,4,2,,,,,,,,,13,,,,,,15,3,15,2,63,4,7,3,5,1,1,1,3,4,2,0.3285306501,
893480,2,1,6,1984,1,,2,7,8,100,100,2009,3,,0,,11,,,,,,15,3,15,2,30,1,7,3,5,0,1,0,3,4,2,0.3285306501,
893481,1,2,1,1941,1,,4,2,,,,,,,,,16,,,,,,15,3,15,1,73,5,6,3,5,1,1,1,3,4,2,0.2509015571,
893483,1,2,1,1964,1,,1,5,,44,60,1984,1,2,0,,2,,10,,,,15,3,15,4,50,3,2,1,4,1,2,0,3,4,2,0.3754668902,4.1
893483,2,1,2,1962,1,,1,5,,50,60,1983,2,2,0,,2,,21,,,,15,3,15,4,52,3,2,1,4,1,2,1,3,4,2,0.3754668902,8.1
893483,3,1,6,1992,1,,2,5,,70,100,2012,2,2,0,,11,,,,,,15,3,15,4,22,1,7,3,5,0,2,0,3,4,2,0.3754668902,
893483,4,1,6,2001,1,,2,3,,,,,,,,,17,,,,,,15,3,15,4,13,1,7,3,5,0,2,0,3,4,2,0.3754668902,
893488,1,1,1,1960,1,,1,7,3,100,110,1986,3,,0,,6,,17,,,,15,3,15,3,54,3,4,2,3,1,2,0,3,4,2,0.2331384672,2.4
893488,2,2,2,1960,1,,1,7,8,100,110,1985,3,,0,,2,,14,,,,15,3,15,3,54,3,2,1,4,1,2,1,3,4,2,0.2331384672,9.1
893488,3,2,6,1994,1,,2,5,,80,100,2009,3,1,0,,17,,,,,,15,3,15,3,20,1,7,3,5,0,2,0,3,4,2,0.2331384672,
893494,1,2,1,1969,1,,3,3,,,,,,,,,13,,,,,,15,3,15,3,45,3,7,3,5,1,1,1,3,4,2,0.3758088635,
893494,2,2,6,1992,1,,2,3,,,,,,,,,11,,,,,,15,3,15,3,22,1,7,3,5,0,1,0,3,4,2,0.3758088635,
893494,3,2,6,1996,1,,2,3,,,,,,,,,11,,,,,,15,3,15,3,18,1,7,3,5,0,1,0,3,4,2,0.3758088635,
893495,1,2,1,1974,1,,1,3,,,,,,,,,13,,,,,,15,3,15,4,40,2,7,3,5,0,1,0,3,4,2,0.4133843055,
893495,2,1,2,1970,1,,1,3,,,,,,,,,1,,6,,,,15,3,15,4,44,2,1,1,4,1,1,1,3,4,2,0.4133843055,6.1
893495,3,1,6,1998,1,,2,3,,,,,,,,,17,,,,,,15,3,15,4,16,1,7,3,5,0,1,0,3,4,2,0.4133843055,
893495,4,1,6,2003,1,,2,2,,,,,,,,,17,,,,,,15,3,15,4,11,1,7,3,5,0,1,0,3,4,2,0.4133843055,
893497,1,1,1,1968,1,,1,4,,,,,,,,,1,,13,,,,15,3,15,4,46,3,1,1,4,1,2,0,3,4,2,0.4222694455,6.2
893497,2,2,2,1976,1,,1,3,,,,,,,,,2,,16,,,,15,3,15,4,38,2,2,1,3,1,2,1,3,4,2,0.4222694455,8.1
893497,3,2,6,2004,1,,2,2,,,,,,,,,17,,,,,,15,3,15,4,10,1,7,3,5,0,2,0,3,4,2,0.4222694455,
893497,4,1,6,1999,1,,2,3,,,,,,,,,17,,,,,,15,3,15,4,15,1,7,3,5,0,2,0,3,4,2,0.4222694455,
893500,1,1,1,1970,1,,1,4,,,,,,,,,2,,7,,,,15,3,15,4,44,2,2,1,4,1,1,1,3,4,2,0.3737691295,
893500,2,2,2,1966,1,,1,3,,,,,,,,,13,,,,,,15,3,15,4,48,3,7,3,5,0,1,0,3,4,2,0.3737691295,
893500,3,1,6,1999,1,,2,3,,,,,,,,,17,,,,,,15,3,15,4,15,1,7,3,5,0,1,0,3,4,2,0.3737691295,
893500,4,2,6,2004,1,,2,2,,,,,,,,,17,,,,,,15,3,15,4,10,1,7,3,5,0,1,0,3,4,2,0.3737691295,
893501,1,1,1,1950,1,,1,2,,,,,,,,,1,,6,,,,15,3,15,2,64,4,1,1,4,1,1,1,3,4,2,0.2251743617,6.1
893501,2,2,2,1960,1,,1,2,,,,,,,,,13,,,,,,15,3,15,2,54,3,7,3,5,0,1,0,3,4,2,0.2251743617,
893508,1,2,1,1976,1,,2,3,,,,,,,,,13,,,,,,15,3,15,4,38,2,7,3,5,1,1,1,3,4,2,0.4964436319,
893508,2,1,6,2006,1,,2,1,,,,,,,,,17,,,,,,15,3,15,4,8,1,7,3,5,0,1,0,3,4,2,0.4964436319,
893508,3,1,6,2006,1,,2,1,,,,,,,,,17,,,,,,15,3,15,4,8,1,7,3,5,0,1,0,3,4,2,0.4964436319,
893508,4,1,6,2003,1,,2,2,,,,,,,,,17,,,,,,15,3,15,4,11,1,7,3,5,0,1,0,3,4,2,0.4964436319,
893538,1,2,1,1957,1,,1,5,,60,60,1976,1,2,0,,12,2,13,,,,9,2,9,2,57,4,7,3,5,0,1,0,2,3,2,0.2535882454,
893538,2,1,2,1961,1,,1,5,,60,60,1980,2,2,0,,1,,19,,,,9,2,9,2,53,3,1,1,4,1,1,1,2,3,2,0.2535882454,
893543,1,2,1,1970,1,,3,4,,,,,,,,,1,,9,,,,20,3,9,4,44,2,1,1,4,1,1,1,2,3,2,0.4453329673,5.2
893543,2,2,7,1992,1,,2,5,,86,100,2010,3,2,0,,11,,,,,,9,2,9,4,22,1,7,3,5,0,1,0,2,3,2,0.4453329673,
893543,3,1,7,2000,1,,2,3,,,,,,,,,17,,,,,,9,2,9,4,14,1,7,3,5,0,1,0,2,3,2,0.4453329673,
893543,4,2,7,2006,1,,2,1,,,,,,,,,17,,,,,,9,2,9,4,8,1,7,3,5,0,1,0,2,3,2,0.4453329673,
893544,1,2,1,1967,1,,1,3,,,,,,,,,13,,,,,,19,3,9,4,47,3,7,3,5,0,2,0,2,3,2,0.419880216,
893544,2,1,2,1962,1,,1,3,,,,,,,,,8,,6,,,,19,3,9,4,52,3,5,2,4,1,2,1,2,3,2,0.419880216,
893544,3,1,6,1987,1,,2,5,,98,100,2005,2,2,0,,1,,19,,,,19,3,9,4,27,1,1,1,4,1,2,0,2,3,2,0.419880216,6.3
893544,4,1,6,1991,1,,2,3,,,,,,,,,12,1,19,,,,9,2,9,4,23,1,7,3,5,0,2,0,2,3,2,0.419880216,
893556,1,2,1,1954,1,,1,3,,,,,,,,,13,,,,,,17,3,9,2,60,4,7,3,5,1,2,0,2,3,2,0.2621777591,
893556,2,1,2,1948,1,,1,5,,60,60,1967,2,1,0,,15,2,13,,,,9,2,9,2,66,5,6,3,5,1,2,1,2,3,2,0.2621777591,
893558,1,2,1,1982,2,2005,1,3,,,,,,,,3,11,,,,,,,,9,4,32,1,7,3,5,0,1,0,2,3,2,0.6191848706,
893558,2,1,2,1978,1,2005,1,3,,,,,,,,3,1,,1,,,,,,9,4,36,2,1,1,1,1,1,1,2,3,2,0.6191848706,6.4
893558,3,1,6,2002,2,2005,2,1,,,,,,,,1,17,,,,,,,,9,4,12,1,7,3,5,0,1,0,2,3,2,0.6191848706,
893558,4,2,6,2007,1,,2,1,,,,,,,,,17,,,,,,9,2,9,4,7,1,7,3,5,0,1,0,2,3,2,0.6191848706,
893563,1,1,1,1975,1,,2,7,9,110,110,2003,3,,1,,2,,16,,,,9,2,9,1,39,2,2,1,3,1,1,1,2,3,2,0.6959810858,3.1
893568,1,2,1,1982,1,,1,7,2,105,110,2010,3,,0,,12,1,19,,,,3,1,9,2,32,1,7,3,5,1,2,0,2,3,2,0.7263347451,
893568,2,1,2,1982,1,,1,5,,69,100,2001,3,1,0,,2,,15,,,,3,1,9,2,32,1,2,1,3,1,2,1,2,3,2,0.7263347451,
893570,1,2,1,1977,1,,3,3,,,,,,,,,12,1,20,,,,15,3,15,4,37,2,7,3,5,0,2,0,3,4,2,0.9284061347,
893570,2,2,4,1953,1,,3,2,,,,,,,,,13,,,,,,15,3,15,4,61,4,7,3,5,1,2,1,3,4,2,0.9284061347,
893570,3,1,11,1988,1,,2,3,,,,,,,,,11,,,,,,15,3,15,4,26,1,7,3,5,0,2,0,3,4,2,0.9284061347,
893570,4,2,7,2001,1,,2,3,,,,,,,,,17,,,,,,15,3,15,4,13,1,7,3,5,1,2,0,3,4,2,0.9284061347,
893573,1,1,1,1960,1,,2,3,,,,,,,,,12,1,3,,,,15,3,15,1,54,3,7,3,5,1,1,1,3,4,2,0.4520702761,
893575,1,2,1,1955,1,,2,3,,,,,,,,,1,,3,,,,15,3,15,1,59,4,1,1,2,1,1,1,3,4,2,0.4922237029,6.5
893576,1,2,1,1932,1,,4,2,,,,,,,,,16,,,,,,15,3,15,1,82,5,6,3,5,1,1,1,3,4,2,0.5256900433,
893579,1,2,1,1966,2,1999,3,3,,,,,,,,3,8,,20,,,,,,15,2,48,3,5,2,4,1,1,1,3,4,2,0.9196877719,8.2
893579,2,1,6,2002,2,2002,2,2,,,,,,,,1,17,,,,,,,,15,2,12,1,7,3,5,0,1,0,3,4,2,0.9196877719,
893581,1,1,1,1935,1,,1,5,,7,10,1954,3,2,0,,15,2,19,,,,15,3,15,2,79,5,6,3,5,1,2,0,3,4,2,0.5038631106,
893581,2,2,2,1938,1,,1,5,,8,10,1957,5,2,0,,15,3,16,,,,15,3,15,2,76,5,6,3,5,1,2,1,3,4,2,0.5038631106,
893582,1,2,1,1938,1,,4,2,,,,,,,,,13,,,,,,3,1,15,2,76,5,7,3,5,1,2,0,3,4,2,0.6702639596,
893582,2,1,6,1964,1,,2,4,,,,,,,,,2,,17,,,,15,3,15,2,50,3,2,1,3,1,2,1,3,4,2,0.6702639596,3.2
893590,1,2,1,1953,1,,1,1,,,,,,,,,15,8,19,,,,15,3,15,5,61,4,6,3,5,1,2,1,3,4,2,0.7959658315,
893590,2,1,2,1951,1,,1,2,,,,,,,,,15,1,7,,,,15,3,15,5,63,4,6,3,5,1,2,0,3,4,2,0.7959658315,
893590,3,1,6,1992,1,,2,5,,73,100,2012,4,1,0,,17,,,,,,15,3,15,5,22,1,7,3,5,0,2,0,3,4,2,0.7959658315,
893590,4,2,6,1984,1,,2,7,1,100,110,2010,3,,0,,11,,,,,,15,3,15,5,30,1,7,3,5,0,2,0,3,4,2,0.7959658315,
