AREA5,ACOM,SESSO,ETA,NCOMP,D3d,D1d,D2d,D1,D2,D3,D4,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,MODOINT,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,PESO,ID
4,3,2,55,4,4,6,,4,2,3,4,3,4,3,4,4,3,2,3,2,1,1,1,1,,,,,,,4796.70263905393,10094
1,2,1,62,4,3,7,,2,2,2,3,3,5,3,4,4,3,1,3,2,1,1,1,1,0,1,1,0,0,0,129235.375359359,10095
2,3,2,52,4,4,1,4,5,1,1,3,5,2,2,2,3,1,2,2,5,3,1,5,1,0,1,0,1,0,0,6296.55876162148,10096
5,2,2,58,4,4,5,4,4,2,3,3,4,5,1,2,1,1,1,3,4,2,3,5,1,0,0,1,1,0,0,23406.5524803675,10097
4,1,2,54,4,3,6,,4,2,2,3,4,3,4,1,4,3,2,1,3,1,2,1,1,1,1,0,0,0,0,7106.11050885462,10098
1,5,1,51,1,4,6,,3,2,4,3,3,5,3,4,3,3,1,3,2,1,2,5,1,0,1,1,0,0,0,1959.64845149181,10099
3,5,1,79,2,6,7,,2,3,4,4,3,4,4,4,4,3,1,3,2,1,1,2,1,,,,,,,6088.31785654929,10100
1,2,2,75,3,2,7,,5,1,2,1,4,5,1,2,4,3,1,4,2,1,2,1,1,0,1,0,0,0,0,85141.8098990427,10101
4,3,2,61,3,6,1,9,2,2,3,2,3,6,1,1,4,3,1,4,2,1,1,2,1,0,1,0,1,0,0,15603.6735228744,10102
5,1,1,24,4,3,5,4,5,1,3,1,2,5,3,4,4,3,1,4,1,1,2,2,1,0,1,0,0,0,0,52203.1728298867,10103
4,1,1,31,3,4,1,2,4,2,3,2,3,5,3,4,4,3,1,1,2,1,2,1,1,0,1,0,0,1,0,15441.1934237029,10104
2,3,2,80,2,2,7,,4,2,3,4,3,3,3,4,4,3,2,1,2,1,1,1,1,,,,,,,29086.5356918648,10105
1,4,1,37,2,5,5,5,3,3,4,3,3,5,1,4,3,2,1,4,2,1,2,1,1,1,0,0,0,0,0,52576.5097798347,10106
2,1,2,40,4,4,1,4,5,2,2,1,5,4,2,2,1,1,2,3,4,3,1,5,1,1,0,0,0,1,0,30256.141862808,10107
4,4,2,51,3,6,1,9,2,2,2,1,3,5,3,4,4,3,2,4,2,2,1,1,1,0,1,0,0,1,0,12024.369144194,10108
3,1,2,64,2,3,7,,3,3,2,4,4,3,4,4,4,3,2,2,3,2,1,1,1,,,,,,,79731.6552616907,10109
2,2,1,78,2,3,7,,5,1,1,3,4,3,4,3,4,3,2,2,4,2,1,5,1,0,1,0,1,0,0,12130.5076202071,10110
