ID,MESI,SESSO,TITOLO,ETA,NCOMP,NSESSOM,NSESSOF,NCOMP5,NCOMP613,NCOMP1417,NCOMP1844,NCOMP4554,NCOMP5564,NCOMP65,SITGEN,MLAV,PREZZIP,PREZZIF,NOCCOTT,NSMART,NOCCNOW,OCC,CONTR,SETT,PROBPERD,PROBLAV,PROBPERDF,MISURE_1,MISURE_2,MISURE_3,MISURE_4,MISURE_5,MISURE_6,MISURE_7,SMARTTEO,SMARTEFF,SMARTMOT,PROBIMPR,DIFFAFF,CONDGEN,VARRED,VARREDQ,VARREDM,VARREDMQ,DEBITI_1,DEBITI_2,DEBITI_3,DIFFDEB_1,DIFFDEB_2,DIFFDEB_3,DIFFDEB_4,DIFFDEB_5,DURMOR,FINEMOR,ATFIN,VARREDF,VARREDFA,VARREDFD,RISPAR,PRECAUZ,VARCONS,VARCONSQ,VARQUAL,VARQUAN,RICPRES,MOTPRES,NATALE,FREQATT_1,FREQATT_2,FREQATT_3,FREQATT_4,FREQATT_5,RIDMOT,ALTRIMOT_1,ALTRIMOT_2,ALTRIMOT_3,CONTAGI_1_1,CONTAGI_2_1,CONTAGI_3_1,CONTAGI_4_1,CONTAGI_5_1,CONTAGI_1_2,CONTAGI_2_2,CONTAGI_3_2,CONTAGI_4_2,CONTAGI_5_2,CONTAGI_1_3,CONTAGI_2_3,CONTAGI_3_3,CONTAGI_4_3,CONTAGI_5_3,CONTAGI_1_4,CONTAGI_2_4,CONTAGI_3_4,CONTAGI_4_4,CONTAGI_5_4,AREA5,ACOM,Y_MONTH,STACIV,DATAINT,PESO,PNASC
124131,3.0,1,3,47,4,2,2,2,0,0,1,1,0,0,3,4,3,3,4,0.0,2,1,3.0,5.0,100.0,,10.0,2,2,2,2,2,2,2,2.0,0.0,4.0,10,,4,2,,2,,2,2,2,,,,,,,,1,2,,,2,3600,1,,2.0,1.0,6,,7,3,3,2,2,2,2.0,25.0,50.0,25.0,3,2,3,4,4,2,4,2,5,2,3,2,1,1,1,1,2,2,2,1,4,2,12,3,21NOV2020,8686.72468734973,1
124253,1.0,1,4,56,4,2,2,0,0,0,2,1,1,0,2,2,2,2,2,0.0,2,4,,,,,100.0,2,2,2,2,2,2,2,,,,0,,3,2,,2,,1,2,1,0.0,0.0,0.0,1.0,0.0,,,2,2,,,1,2500,2,,,,6,,3,3,2,3,3,3,2.0,40.0,10.0,50.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,8,3,23NOV2020,3473.82969701119,1
124335,3.0,1,4,50,3,1,2,0,0,0,1,2,0,0,9,9,9,9,0,,1,1,1.0,2.0,0.0,,,2,2,2,2,2,2,2,60.0,0.0,2.0,0,,3,2,,2,,2,2,2,,,,,,,,2,3,,1.0,2,2000,3,1.0,3.0,2.0,6,,7,3,3,2,2,2,2.0,30.0,30.0,40.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,9,3,26NOV2020,3862.02855122931,1
125068,2.0,1,4,38,4,1,3,0,2,0,2,0,0,0,3,4,3,2,4,1.0,2,1,4.0,9.0,50.0,,50.0,2,2,2,2,2,2,2,100.0,100.0,,0,,3,3,2.0,2,,2,2,1,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2,3,,3.0,2,10000,1,,2.0,1.0,6,,3,3,3,3,3,3,,,,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,6,3,23NOV2020,5417.16444366923,1
127078,3.0,1,3,45,3,2,1,0,1,0,1,1,0,0,1,1,1,2,3,1.0,2,1,1.0,98.0,5.0,,5.0,2,2,2,2,2,2,1,5.0,5.0,,0,,3,2,,2,,1,2,2,0.0,0.0,0.0,0.0,1.0,,,2,2,,,2,3500,2,,,,6,,2,2,2,2,3,1,1.0,,,,2,2,3,2,1,3,2,3,3,1,2,2,2,3,1,3,3,3,2,1,1,2,14,3,21NOV2020,12139.2058787041,1
127090,1.0,1,5,40,4,2,2,1,1,0,2,0,0,0,5,4,3,2,2,0.0,2,1,2.0,98.0,30.0,,40.0,2,2,2,2,2,1,1,20.0,0.0,1.0,0,,5,2,,2,,1,2,2,0.0,0.0,0.0,0.0,1.0,,,1,2,,,1,100000,2,,,,6,,2,2,1,1,1,1,2.0,30.0,40.0,30.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,16,3,23NOV2020,6071.81228342949,1
127093,,1,4,63,3,1,2,0,0,0,1,0,2,0,3,3,4,4,1,0.0,2,4,,,,,2.0,2,2,2,2,2,2,1,,,,10,,4,2,,2,,2,2,2,,,,,,,,2,3,,2.0,3,120000,2,,,,6,,1,2,1,1,1,1,2.0,50.0,20.0,30.0,2,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,5,19,3,29NOV2020,5555.91667293482,1
127101,4.0,1,5,30,2,2,0,0,0,0,2,0,0,0,2,2,3,1,2,1.0,2,1,1.0,9.0,0.0,,0.0,2,2,2,2,2,2,2,100.0,100.0,,0,2.0,5,2,,2,,2,2,2,,,,,,,,1,2,,,1,5000,3,1.0,3.0,1.0,6,,2,4,1,1,3,1,2.0,40.0,20.0,40.0,3,3,3,3,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,5,18,2,22NOV2020,14617.521617264,1
127129,3.0,1,4,43,5,2,3,0,1,0,3,1,0,0,4,4,3,2,4,0.0,4,1,1.0,4.0,5.0,,100.0,2,2,2,2,2,2,2,0.0,0.0,,0,2.0,4,3,2.0,3,2.0,2,2,1,0.0,0.0,0.0,0.0,1.0,,,2,3,,1.0,2,5000,2,,,,6,,3,3,2,2,1,1,1.0,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,5,98,3,23NOV2020,6721.82786611222,1
127144,2.0,1,3,35,3,1,2,1,0,0,2,0,0,0,1,1,1,1,1,0.0,1,1,1.0,9.0,0.0,,,2,2,2,2,2,2,2,0.0,0.0,,0,,4,2,,2,,1,2,2,0.0,0.0,0.0,0.0,1.0,,,1,2,,,1,2500,2,,,,6,,1,1,2,1,1,1,2.0,50.0,25.0,25.0,3,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,3,22NOV2020,11612.5728644866,1
