nquest,nord,Y
512941,2,7000.0
512963,1,19925.584069
512963,2,11505.0
513045,1,25508.201785
513045,2,12766.0
513045,3,16950.0
513064,1,26925.177662
513064,2,16150.0
513113,1,17577.948015
513113,2,26000.0
513113,4,12000.0
513131,1,25217.20537
513131,2,14300.0
513140,1,8845.1616111
513330,1,16806.882148
513335,1,27477.424166
513335,2,3120.0
513369,1,14874.33892
513369,2,14300.0
513377,1,19600.0
513377,2,11830.0
513384,1,23792.584074
513384,2,7540.0
513386,1,20858.602685
513406,1,25407.785372
513406,3,15000.0
513411,1,32861.079064
513427,1,28406.464443
513427,2,20000.0
513428,1,38763.310705
513428,2,29000.0
513437,1,20844.72771
513437,2,31360.0
513449,1,16415.918137
513449,2,20500.0
610980,1,22699.70284
610980,2,15600.0
611412,1,76648.691855
611412,2,47000.0
611441,1,39972.141913
611441,2,23000.0
611453,1,15696.67009
611512,1,8427.6538871
611512,2,14300.0
611614,1,15111.922774
611614,2,31000.0
611614,3,12000.0
611614,4,3700.0
611774,1,38181.318408
611774,2,54900.0
612011,1,23567.261398
612011,2,16600.0
612269,1,22664.710059
612423,1,28974.280842
612423,2,14280.0
613605,1,25284.711612
613825,1,21374.301343
614068,1,6034.4107405
614094,1,16460.979536
614094,2,7380.0
614660,1,16777.602685
614683,1,37878.789452
614683,2,41600.0
614783,1,28943.013426
615399,1,29396.959206
615399,3,13000.0
615751,1,50551.616111
616016,1,11377.919619
616016,2,8760.0
616078,1,16707.130423
616078,2,30000.0
616313,1,68413.026851
616313,2,24000.0
617023,1,46517.19309
617023,2,23600.0
617231,1,18775.285924
617231,2,9100.0
617398,1,158544.80172
617398,2,48000.0
617902,1,112475.34588
617902,2,39000.0
618755,1,70092.775132
618755,2,1469.0
619457,1,21365.808055
620481,1,52141.806078
620481,2,40000.0
620503,1,30296.306031
620503,2,20800.0
620649,1,20562.922306
620649,2,19721.0
620805,1,39767.120831
620805,2,15000.0
620829,1,35956.881917
620858,1,36338.084211
620858,2,14040.0
620858,3,10400.0
621685,1,35725.808055
621685,2,9000.0
621762,1,15329.040277
621766,1,19495.953009
621773,1,5408.6026851
621773,2,15600.0
621773,3,2100.0
621999,1,12187.642962
622031,1,15300.0
622034,1,30215.067128
622063,1,12550.0
622071,1,47630.134256
622228,1,35318.753277
622228,2,15600.0
622306,1,15744.720381
622707,1,10455.069413
622717,1,20588.345919
622915,1,12862.904028
622915,2,3900.0
623281,1,15600.0
623300,3,16900.0
623300,4,6500.0
623305,1,22322.02744
623606,1,15835.238866
623614,1,11014.151267
623614,2,5000.0
623619,2,7540.0
624781,1,16200.0
624804,1,9000.0
625193,1,23051.616111
625193,2,15600.0
625513,1,16891.422173
625513,2,16900.0
625536,1,8008.6026851
625641,1,38149.60788
625641,2,20800.0
625694,1,21740.048485
625983,1,29559.107226
625983,2,19700.0
625983,3,36400.0
625983,4,13000.0
626030,1,9100.0
626162,1,32945.808055
626189,1,10730.323222
626240,1,20639.293619
626259,1,98475.332815
626259,3,20000.0
626310,1,4949.6867212
626310,2,27000.0
626310,4,7280.0
626312,1,21841.725509
626361,1,16489.467925
626641,1,17247.612083
626680,1,10489.638913
626851,1,48045.184782
626851,2,26000.0
626868,1,11287.052396
626892,1,15077.74027
627067,1,26491.600625
627067,2,4680.0
627314,1,22790.597856
627314,2,14000.0
627314,3,8000.0
627479,1,6129.0402769
627479,2,15600.0
627842,1,11046.781263
627842,2,6500.0
627842,3,12000.0
628193,1,9000.0
628418,1,36729.040277
629458,1,6000.0
629458,2,21000.0
629478,1,66441.972242
629478,2,18200.0
629488,1,34389.600168
629555,1,44548.113141
629828,1,21549.445647
629984,1,19256.046105
629984,2,10000.0
630345,1,20800.0
630345,2,4500.0
630650,1,37442.778153
630858,1,16694.109669
630858,2,18200.0
631016,1,38557.973609
631016,2,13533.0
631237,1,32679.349067
631237,2,3874.0
631306,1,15607.742417
631306,5,200.0
631306,6,200.0
631306,7,350.0
631431,1,24450.701401
631431,2,18200.0
631712,1,40374.241662
631712,2,16900.0
631712,4,22000.0
631712,5,18000.0
631954,1,16887.642962
632099,1,4308.6026851
632118,1,44238.712083
632293,1,9774.9908025
632347,1,19124.172092
632347,2,12000.0
632347,3,12000.0
633412,1,25129.040277
633412,2,19000.0
633458,1,37060.218796
633458,2,18000.0
633654,1,33286.026851
633654,3,500.0
633654,4,7400.0
633941,1,16085.440024
634144,1,7217.2053703
634144,2,24000.0
634442,1,34245.808055
634442,2,15340.0
634732,1,22387.125003
634732,2,22000.0
634732,3,12000.0
635007,1,16220.544008
635007,2,10400.0
635047,1,19000.0
635047,2,9100.0
635112,1,29172.515373
635112,2,14000.0
635263,1,30331.203377
